informal work in eng,SECTOR,SUBSECTOR
.NET Developer,ICT and digital work,Software Design Development and Implementation Works
Animator,Tourism and art,Motion Picture Works
2D Animator,Tourism and art,Motion Picture Works
Motion Designer,Tourism and art,Motion Picture Works
Motion Graphic Designer,Tourism and art,Motion Picture Works
Video Producer,Tourism and art,Motion Picture Works
3D Animator,Tourism and art,Motion Picture Works
Architectural Visualizer,Tourism and art,Motion Picture Works
3D Artist,Tourism and art,Motion Picture Works
3D Character Animator,Tourism and art,Motion Picture Works
3D Character Designer,Tourism and art,Motion Picture Works
3D Character Artist,Tourism and art,Motion Picture Works
3D Content Creator,Tourism and art,Motion Picture Works
3D Sculptor,Tourism and art,Motion Picture Works
3D Design Instructor,Education,other
3D Printer Operator,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
3D Modeler,Tourism and art,Motion Picture Works
3D Product Designer,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
3D Texture Artist,Tourism and art,Motion Picture Works
Technical Artist,Tourism and art,Motion Picture Works
Character Animator,Tourism and art,Motion Picture Works
Software Trainer,Education,other
Recovery Assistant,Health,Health
WordPress Designer,ICT and digital work,Software Design Development and Implementation Works
Call Center Agent,Service,Other services
Cotton Candy Maker,Manufacturing,"Manufacture of food, beverage and tobacco processing equipment"
Accounts Receivable Officer,Business,Wholesale business in specialized stores
Air Conditioning Technician,Service,Equipment and machine installation and maintenance service
Embroidery Digitizer,Manufacturing,different textile materials made (excluding clothing) Manufacturing
Cement Artisan,Construction,Building finishing works
Quran Teacher,Education,other
Education Consultant,Service,Education counseling service
Admissions Officer,Education,other
Academic Dean,Education,other
Academic Coordinator,Education,other
Quality Assurance Coordinator,Service,Quality Management Consulting Service
Curriculum Specialist,Education,other
Academic Auditor,Education,other
Academic Department Head,Education,other
Academic Reviewer,Education,other
Academic Affairs Officer,Education,other
Academic Supervisor,Education,other
Academic Tutor,Education,other
Academic Vice President,Education,other
Accent Trainer,Education,other
Safety Officer,Service,Occupational Safety and Health Care Consulting Service
Access Manager,Service,Other services
Private Sector Development Specialist,Service,Business Promotion Service
Financial Access Specialist,Service,Finance and Administration Services
Accessibility Specialist,Service,Other services
Account Analyst,Business,Wholesale business in specialized stores
Cashier,Business,Retail trade in specialized stores
Account Manager,Business,Wholesale business in specialized stores
Account Clerk,Business,Wholesale business in specialized stores
Account Executive,Business,Wholesale business in specialized stores
Collections Officer,Business,Wholesale business in specialized stores
Safeguarding Advisor,Service,Social work services
Accountability Officer,Service,Social work services
Accountability Specialist,Service,Social work services
Complaints Officer,Service,Other services
Accountant,Business,Wholesale business in specialized stores
Farm Manager,agriculture,Agriculture
Finance Manager,Business,Wholesale business in specialized stores
Foreign Banking Officer,Service,Finance and Administration Services
Credit Manager,Business,Wholesale business in specialized stores
Audit and Licensing Officer,Service,Accounting audit and adminstrative works
Quality Assurance Auditor,Service,Quality Management Consulting Service
Finance Officer,Business,Wholesale business in specialized stores
Accounting Officer,Business,Wholesale business in specialized stores
Accounts Officer,Business,Wholesale business in specialized stores
Accreditation Specialist,Service,Professional certification
Quality Assurance Officer,Service,Quality Management Consulting Service
Verification Officer,Service,Inspection
Soil Scientist,agriculture,Agriculture
Musician,Tourism and art,Music Band
Logistics Officer,"Logistics, transportation and communication",Other supportive transportation services
Video Editor,Tourism and art,Motion Picture Works
Activity Coordinator,Service,Special event coordination
Actor,Tourism and art,Motion Picture Works
Actress,Tourism and art,Motion Picture Works
Acupuncturist,Health,Health
Acute Care Nurse,Health,Health
