,OCCUPATIONID,PREFERREDLABEL,ALTLABELS,OCCUPATIONGROUPLABEL,OCCUPATIONGROUPID,SECTOR,SECTORID,SUBSECTOR,SUBSECTORID
0,a6de27fcdc453b8ca2a0105c,auditor general,"chief government auditor
comptroller and auditor general
head of supreme audit institution
national auditor general",Senior government officials,687671b1ebd2bf665349a136,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Accounting audit and adminstrative works,63b31123-a66f-498d-b586-59337b7f0c54
1,d2985a88c2d72a5af11777c6,head of government,"chancellor
deputy president
first minister
premier
president
prime minister
taoiseach
vice president",Senior government officials,687671b1ebd2bf665349a136,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
2,986a045206e00d40418cdcc8,senior judiciary member,"attorney general
chief justice
chief public defender
chief registrar judiciary
director of public prosecution
high court judge
judge advocate general
lord chief justice
president of the supreme court
prosecutor general
solicitor general
supreme court justice",Senior government officials,687671b1ebd2bf665349a136,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
3,751bdeba0deb0cfb49ba00d0,senior local government official,"chief executive, local authority
councillor
county assembly clerk
county executive committee member
county governor
deputy mayor
deputy speaker of the county assembly
district commissioner
mayor
member of county assembly
municipal manager
speaker county assembly
town clerk",Senior government officials,687671b1ebd2bf665349a136,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
4,d7958e7d5771a01c1b89b2c1,village chief,"community chief
head of village
local chieftain
village administrators
village elder
village headman",Traditional chiefs and heads of village,687671b1ebd2bf665349a137,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
5,266313add7380dfae2c9c29d,political party leader,"convenor
first secretary
leader of majority
leader of minority
leader of the opposition
party chairman
party chairperson
party president",Senior officials of special-interest organisations,687671b1ebd2bf665349a138,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
6,7cd0b2642595dee9928cd93d,special needs teacher,"exceptional student education teacher
inclusion teacher
learning disability teacher
resource teacher
sen teacher
special education teacher
special needs educator
teacher, migrant education",Special needs teachers,687671b1ebd2bf665349a1a3,Education,ad6d6a11-c462-46b4-8297-ae0c7682a48d,other,0e07d632-b6ed-4415-8e8a-404900a89110
7,43bb741d83cc70d1b7aeb525,digital currency miner,"blockchain miner
crypto miner
cryptocurrency miner
digital miner
mining farm technician
mining rig operator",Database and network professionals not elsewhere classified,687671b1ebd2bf665349a1c3,ICT and digital work,e5c279c4-44d2-42a9-91f5-0329ed7536ce,General research and experimental development work,dafda807-105a-4cac-82cb-2bbc4b9829b8
8,d07a2d518e388a491f919eb4,indexer,"back-of-book indexer
book indexer
database indexer
periodical indexer
professional indexer
subject indexer",Authors and related writers,687671b1ebd2bf665349a1d4,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
9,c9219b50fbe6c521069b3b58,impression taker,"casting technician
dental impression technician
earmold technician
impression specialist
moulding technician
orthotic impression technician
prosthetic impression technician",Physical and engineering science technicians not elsewhere classified,687671b1ebd2bf665349a1ea,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other services,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
10,35f213eaa26c21d64ac3f38c,musical instrument technician,"chief piano technician
instrument manufacturing supervisor
lead luthier
manufacturing team leader, musical instruments
master instrument builder
musical instrument production coordinator
production supervisor, musical instruments
supervisor and foreman, musical instrument making
workshop supervisor, musical instruments",Manufacturing supervisors,687671b1ebd2bf665349a1ed,Service,b5ab236c-527f-4277-b21b-6cb432afe3e3,Other unmentioned repair jobs,5fa6fa7f-23a8-4bde-84a9-3795afebc6f3
11,7924da4d8da585ee47cd2e45,bone-setter,"folk bone setter
indigenous bone setter
setter, bone
traditional bone setter
traditional fracture healer
traditional orthopaedic manipulator",Traditional and complementary medicine associate professionals,687671b1ebd2bf665349a20a,Health,cdeaa5b8-7328-46c5-91d4-791249d44276,Health,384e9f7d-4c21-474b-beba-cd3c911e9f1f
12,8c74e66fd578f64534c7c9e6,village healer,"community healer
folk healer
healer, village
indigenous healer
local healer
medicine man
medicine woman
traditional healer
traditional medicine practitioner",Traditional and complementary medicine associate professionals,687671b1ebd2bf665349a20a,Health,cdeaa5b8-7328-46c5-91d4-791249d44276,Health,384e9f7d-4c21-474b-beba-cd3c911e9f1f
13,246bd9ee8a5b70e298aecabc,trichologist,"clinical trichologist
hair and scalp consultant
hair and scalp specialist
hair loss specialist
scalp therapist",Health associate professionals not elsewhere classified,687671b1ebd2bf665349a216,Health,cdeaa5b8-7328-46c5-91d4-791249d44276,Health,384e9f7d-4c21-474b-beba-cd3c911e9f1f
