ID,ORIGINURI,UUIDHISTORY,OCCUPATIONGROUPCODE,CODE,DEFINITION,SCOPENOTE,REGULATEDPROFESSIONNOTE,OCCUPATIONTYPE,ISLOCALIZED,PREFERREDLABEL,ALTLABELS,DESCRIPTION,CONFIDENCE,SECTOR,SUBSECTOR,SECTORID,SUBSECTORID
d2985a88c2d72a5af11777c6,,2a5c3c12-c595-43ff-a711-e6e05baea248,1112,1112_2,,,,localoccupation,True,head of government,"Chancellor
Deputy President
First Minister
Premier
President
Prime Minister
Taoiseach
Vice President","Heads of government lead the executive branch, formulate and implement national policies, direct domestic and foreign affairs, and represent the country on the international stage.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
986a045206e00d40418cdcc8,,8174da62-4d2f-4aad-9ce7-25fa8f8b2c80,1112,1112_3,,,,localoccupation,True,senior judiciary member,"Attorney General
Chief Justice
Chief Public Defender
Chief Registrar Judiciary
Director of Public Prosecution
High Court Judge
Judge Advocate General
Lord Chief Justice
President of the Supreme Court
Prosecutor General
Solicitor General
Supreme Court Justice","Senior judiciary members lead national judicial systems or high-level legal offices, interpret laws, administer justice, and provide legal counsel to governments, ensuring legal and constitutional integrity.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
751bdeba0deb0cfb49ba00d0,,25f4030a-0014-404a-b17d-cae68c6414d6,1112,1112_4,,,,localoccupation,True,senior local government official,"Chief Executive, Local Authority
Councillor
County Assembly clerk
County Executive Committee Member
County Governor
Deputy Mayor
Deputy Speaker of the County Assembly
District Commissioner
Mayor
Member of County assembly
Municipal Manager
Speaker County Assembly
Town Clerk","Senior local government officials direct and coordinate the formulation and implementation of public policies, laws, and services at the sub-national or regional administrative level, ensuring effective governance and resource management.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
d7958e7d5771a01c1b89b2c1,,8320ae51-0f49-47ee-a87c-c8ec95e7bade,1113,1113_1,,,,localoccupation,True,village chief,"Community Chief
Head of Village
Local Chieftain
Village Administrators
Village Elder
Village Headman","Village chiefs lead and govern local communities, mediating disputes, managing communal resources, and representing their village in external matters. They uphold traditional laws and customs.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
266313add7380dfae2c9c29d,,37427fc7-56c1-4b1f-ba20-5c1fdc1705ee,1114,1114_1,,,,localoccupation,True,political party leader,"Convenor
First Secretary
Leader of Majority
Leader of Minority
Leader of the Opposition
Party Chairman
Party Chairperson
Party President","Political party leaders guide party strategy, articulate policy positions, and campaign to win elections and influence government policy or form a ruling administration. They represent their party publicly and lead parliamentary groups.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
d07a2d518e388a491f919eb4,,13f9a33a-34fc-45d0-9b57-2c92c8231175,2641,2641_1,,,,localoccupation,True,indexer,"Back-of-book indexer
Book indexer
Database indexer
Periodical indexer
Professional indexer
Subject indexer","Indexers analyse the content of books, journals, and other documents to identify key terms and concepts. They create comprehensive indexes, assigning relevant headings and page locators to facilitate efficient information retrieval for users.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
c9219b50fbe6c521069b3b58,,5c5d1161-6ef7-4d1f-8d63-fb1f707445fe,3119,3119_1,,,,localoccupation,True,impression taker,"Casting Technician
Dental Impression Technician
Earmold Technician
Impression Specialist
Moulding Technician
Orthotic Impression Technician
Prosthetic Impression Technician","Impression takers prepare materials and subjects, then accurately capture physical impressions using specialised techniques and materials, often for crafting custom devices or models.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
c08d95d445bb7ca6da7d2228,,97e6037f-ae11-4dea-9e3b-b64772fa21d8,4229,4229_1,,,,localoccupation,True,eligibility consultant,"Benefits Advisor
Consultant, eligibility
Eligibility Assessor
Eligibility Screener
Financial Aid Advisor
Intake Specialist
Program Eligibility Officer
Specialist, eligibility","Eligibility consultants assess client information to determine qualification for specific programs or services, advise applicants on criteria, required documentation, and application processes, ensuring compliance with regulations and facilitating access to support.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
f04a9468978111ef659a556c,,5991683d-c268-43df-a22d-4a80873b0730,4414,4414_1,,,,localoccupation,True,public writer,"Administrative document writer
Application writer
Correspondence writer
Ecrivain public
Letter writer
Personal document preparer
Writer, public","Public writers assist individuals by drafting, reviewing, and correcting personal, administrative, and legal documents. They help clients overcome literacy barriers or navigate bureaucratic processes by providing professional writing support.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
293ffc3df0f0e6f698f472d2,,32893e18-1092-4644-aead-8517d8bace15,4419,4419_1,,,,localoccupation,True,press clipper,"Article Clipper
Clipper, press
Clippings Assistant
Media Monitor
News Clipper
Print Media Monitor","Press clippers meticulously identify, cut, and compile relevant articles and mentions from print and digital media sources. They provide media monitoring and information gathering services for public relations, archival, or client-specific needs.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
687671c0ebd2bf665349dc91,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,"00127a1e-a7b8-488b-b01b-f7ffe15c2a46
576da681-173c-44fb-a755-a1944667b036
54d975ec-ae65-4485-81a3-99abc78e4e12
6155d7e9-974c-4540-8c55-fde8c9c327e1
81c2c6f2-031a-4120-ae41-0c08dface80b",1111,1111.1,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,city councillor,"County Clerk
Town Clerk
Village Council Member
cabinet member
city councillor
city councilor
councillor
county councillor
elected representative
local councillor
local government councillor
town councillor","City councillors represent residents of a city in the city's council and perform local legislative duties. They examine the concerns of the residents and respond to them in an appropriate manner, and represent their political party's policies and programs in the city council as well. They communicate with governmental officials to ensure the city and its agenda are represented and supervise all operations which fall under the city council's responsibility.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
687671c0ebd2bf665349dc92,http://data.europa.eu/esco/occupation/404a50e9-61ce-448d-a695-bbfc697a0727,"a523a068-4b45-4200-83cb-41bbe9b596fc
1cc17ce9-238a-4ad9-adb6-918fc34a6ffa
db16acef-2796-4723-af5e-666f4ec31c8c
a392fbd5-021c-42a5-986d-c501f933564f
8be482a7-2b20-482b-a8ba-7e51a56ff1e7",1111,1111.2,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,government minister,"Assistant Minister
Cabinet Minister
assembley minister
government minister
member of parliament
minister
minister of state
prime minister
secretary of state
deputy prime minister's office","Government ministers function as decision-makers in national or regional governments, and head government ministries. They perform legislative duties and supervise the operation of their department.",low_similarity,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
687671c0ebd2bf665349dc93,http://data.europa.eu/esco/occupation/d63789ac-74b5-40e3-b890-685513c38e12,"89bbdd0e-9b0e-4183-a1a5-be2730abcf39
839232d9-d743-4ddb-8d83-7803af9cd595
6a39b4f1-cbeb-4abe-9906-fea4ff386bfc
0bdfb482-7159-40da-ac7e-5ef3b786af19
594ff3ff-a13f-497b-bb53-18a5df182a26",1111,1111.3,,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,True,governor,"Deputy Governor
governor
prefect
provincial governor
regional governor
state governor
viceroy","Governors are the main legislators of a nation's unit such as a state or province. They supervise staff, perform administrative and ceremonial duties, and function as the main representative for their governed region. They regulate local governments in their region.",,Service,Other services,b5ab236c-527f-4277-b21b-6cb432afe3e3,262f28b9-a154-4fa2-85e3-ab14a3f8bfc0
