,SKILLID,PREFERREDLABEL,SKILLGROUPLABEL,SKILLGROUPID
0,687671b4ebd2bf665349a631,manage musical staff,supervising a team or group,687671b3ebd2bf665349a59d
1,687671b4ebd2bf665349a632,supervise correctional procedures,directing operational activities,687671b3ebd2bf665349a56b
2,687671b4ebd2bf665349a633,apply anti-oppressive practices,protecting and enforcing,687671b3ebd2bf665349a62c
3,687671b4ebd2bf665349a634,control compliance of railway vehicles regulations,ensuring compliance with legislation,687671b3ebd2bf665349a4eb
4,687671b4ebd2bf665349a635,identify available services,assisting people to access services,687671b3ebd2bf665349a4d3
5,687671b4ebd2bf665349a636,perform toxicological studies,monitoring health conditions of humans and animals,687671b3ebd2bf665349a5ce
6,687671b4ebd2bf665349a637,ensure coquille uniformity,smoothing surfaces of objects or equipment,687671b3ebd2bf665349a513
7,687671b4ebd2bf665349a638,Haskell,software and applications development and analysis,687671b3ebd2bf665349a426
8,687671b4ebd2bf665349a639,show initiative,taking a proactive approach,687671b3ebd2bf665349a580
9,687671b4ebd2bf665349a63a,train staff to reduce food waste,training on operational procedures,687671b3ebd2bf665349a539
10,687671b4ebd2bf665349a63b,apply diplomatic principles,mediating and resolving disputes,687671b3ebd2bf665349a58d
11,687671b4ebd2bf665349a63c,lead police investigations,carrying out forensic and police investigations,687671b3ebd2bf665349a5c8
12,687671b4ebd2bf665349a63d,handle fish harvesting waste,disposing of non-hazardous waste or debris,687671b3ebd2bf665349a52e
13,687671b4ebd2bf665349a63e,develop energy saving concepts,developing operational policies and procedures,687671b3ebd2bf665349a5c6
14,687671b4ebd2bf665349a63f,perform street interventions in social work,providing support to resolve problems,687671b3ebd2bf665349a629
15,687671b4ebd2bf665349a640,work with soloists,working in teams,687671b3ebd2bf665349a603
16,687671b4ebd2bf665349a641,sport and exercise medicine,medicine,687671b3ebd2bf665349a45d
17,687671b4ebd2bf665349a642,conduct research on flora,analysing scientific and medical data,687671b3ebd2bf665349a5b9
18,687671b4ebd2bf665349a643,install heat pump,"installing heating, ventilation and air conditioning equipment",687671b3ebd2bf665349a5b2
19,687671b4ebd2bf665349a644,design biomass installations,designing electrical or electronic systems or equipment,687671b3ebd2bf665349a4f4
20,687671b4ebd2bf665349a645,handle equipment while suspended,,
21,687671b4ebd2bf665349a646,teach housekeeping skills,coaching and mentoring,687671b3ebd2bf665349a600
22,687671b4ebd2bf665349a647,check train engines,testing vehicles,687671b3ebd2bf665349a508
23,687671b4ebd2bf665349a648,influence public policies,"advising on legal, regulatory or procedural matters",687671b3ebd2bf665349a617
24,687671b4ebd2bf665349a649,enterprise risk management,management and administration,687671b2ebd2bf665349a3fa
25,687671b4ebd2bf665349a64a,manufacture ingredients,operating food processing machinery,687671b3ebd2bf665349a5dd
26,687671b4ebd2bf665349a64b,maintain aquaculture ponds,tending and breeding aquatic animals,687671b3ebd2bf665349a605
27,687671b4ebd2bf665349a64c,apply credit risk policy,complying with operational procedures,687671b3ebd2bf665349a559
28,687671b4ebd2bf665349a64d,handle customer requests related to cargo,,
29,687671b4ebd2bf665349a64e,draft scientific or academic papers and technical documentation,technical or academic writing,687671b3ebd2bf665349a53d
30,687671b4ebd2bf665349a64f,Incremental development,software and applications development and analysis,687671b3ebd2bf665349a426
31,687671b4ebd2bf665349a650,use of special equipment for daily activities,therapy and rehabilitation,687671b3ebd2bf665349a460
32,687671b4ebd2bf665349a651,sawing techniques,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
33,687671b4ebd2bf665349a652,produce guitar components,fabricating precision instruments or jewellery,687671b3ebd2bf665349a4d4
34,687671b4ebd2bf665349a653,operate agricultural machinery,operating agricultural or forestry equipment,687671b3ebd2bf665349a531
35,687671b4ebd2bf665349a654,control pyrotechnics stock,sorting materials or products,687671b3ebd2bf665349a50b
36,687671b4ebd2bf665349a655,guarantee customer satisfaction,providing general assistance to people,687671b3ebd2bf665349a4ae
37,687671b4ebd2bf665349a656,manufacture wearing apparel products,fabricating garments and textile products,687671b3ebd2bf665349a514
38,687671b4ebd2bf665349a657,cure tobacco leaves,fabricating tobacco products,687671b3ebd2bf665349a4f9
39,687671b4ebd2bf665349a658,develop a rehabilitation programme,providing psychological and occupational therapies,687671b3ebd2bf665349a50d
40,687671b4ebd2bf665349a659,maintain inventory of cleaning supplies,maintaining operational records,687671b3ebd2bf665349a498
41,687671b4ebd2bf665349a65a,cold vulcanisation,chemical engineering and processes,687671b3ebd2bf665349a42f
42,687671b4ebd2bf665349a65b,supervise housekeeping operations,directing operational activities,687671b3ebd2bf665349a56b
43,687671b4ebd2bf665349a65c,act as contact person during equipment incident,complying with health and safety procedures,687671b3ebd2bf665349a525
44,687671b4ebd2bf665349a65d,manage time in landscaping,planning events and programmes,687671b3ebd2bf665349a5de
45,687671b4ebd2bf665349a65e,advise on customs regulations,advising on products and services,687671b3ebd2bf665349a530
46,687671b4ebd2bf665349a65f,manage university department,"directing, supervising and coordinating projects",687671b3ebd2bf665349a4bb
47,687671b4ebd2bf665349a660,develop terminology databases,managing information,687671b3ebd2bf665349a4e2
48,687671b4ebd2bf665349a661,assess nutritional characteristics of food,preparing food and drinks,687671b3ebd2bf665349a570
49,687671b4ebd2bf665349a662,repair electric bicycles,"installing and repairing electrical, electronic and precision equipment",687671b3ebd2bf665349a598
50,687671b4ebd2bf665349a663,maintain sorting equipment,installing wooden and metal components,687671b3ebd2bf665349a53b
51,687671b4ebd2bf665349a664,explain features in accommodation venue,providing information to the public and clients,687671b3ebd2bf665349a5e6
52,687671b4ebd2bf665349a665,types of barley,food processing,687671b3ebd2bf665349a438
53,687671b4ebd2bf665349a666,KDevelop,database and network design and administration,687671b3ebd2bf665349a425
54,687671b4ebd2bf665349a667,purchase vehicle parts,purchasing goods or services,687671b3ebd2bf665349a534
55,687671b4ebd2bf665349a668,inspect offshore constructions,"advising on legal, regulatory or procedural matters",687671b3ebd2bf665349a617
56,687671b4ebd2bf665349a669,transport patient to medical facility,assisting people with mobility,687671b3ebd2bf665349a56c
57,687671b4ebd2bf665349a66a,adjust envelope cutting settings,"operating cutting, grinding and smoothing machinery",687671b3ebd2bf665349a599
58,687671b4ebd2bf665349a66b,prepare oils,preparing mixtures or solutions,687671b3ebd2bf665349a5bf
59,687671b4ebd2bf665349a66c,purchase supplies,purchasing goods or services,687671b3ebd2bf665349a534
60,687671b4ebd2bf665349a66d,pursue excellence in the creation of food products,developing recipes or menus,687671b3ebd2bf665349a4e3
61,687671b4ebd2bf665349a66e,maintain personal hygiene standards when cleaning,,
62,687671b4ebd2bf665349a66f,liaise with typists,collaborating and liaising,687671b3ebd2bf665349a5a3
63,687671b4ebd2bf665349a670,assess railway operations,conducting academic or market research,687671b3ebd2bf665349a557
64,687671b4ebd2bf665349a671,practise extreme sports,practising sports,687671b3ebd2bf665349a61e
65,687671b4ebd2bf665349a672,adopt ways to foster biodiversity and animal welfare,applying environmental skills and competences,687671b3ebd2bf665349a55c
66,687671b4ebd2bf665349a673,provide chaperone for children on set,caring for children,687671b3ebd2bf665349a585
67,687671b4ebd2bf665349a674,organise labour,"organising, planning and scheduling work and activities",687671b3ebd2bf665349a499
68,687671b4ebd2bf665349a675,use glass engraving tools,"operating cutting, grinding and smoothing machinery",687671b3ebd2bf665349a599
69,687671b4ebd2bf665349a676,operate wrecking ball,operating earthmoving equipment,687671b3ebd2bf665349a4bd
70,687671b4ebd2bf665349a677,evaluate garment quality,monitoring quality of products,687671b3ebd2bf665349a4a2
71,687671b4ebd2bf665349a678,apply for refunds,executing financial transactions,687671b3ebd2bf665349a5c5
72,687671b4ebd2bf665349a679,perform a feasibility study for building management systems,analysing business operations,687671b3ebd2bf665349a612
73,687671b4ebd2bf665349a67a,Absorb (learning management systems),database and network design and administration,687671b3ebd2bf665349a425
74,687671b4ebd2bf665349a67b,peform small vessel administrative duties,performing administrative activities,687671b3ebd2bf665349a5a8
75,687671b4ebd2bf665349a67c,cosmetics ingredients,hair and beauty services,687671b3ebd2bf665349a474
76,687671b4ebd2bf665349a67d,human dynamics as part of hospitality security,protection of persons and property,687671b3ebd2bf665349a481
77,687671b4ebd2bf665349a67e,advise on construction materials,advising on products and services,687671b3ebd2bf665349a530
78,687671b4ebd2bf665349a67f,maintain rotating equipment,installing wooden and metal components,687671b3ebd2bf665349a53b
79,687671b4ebd2bf665349a680,manage volunteers in second-hand shop,supervising a team or group,687671b3ebd2bf665349a59d
80,687671b4ebd2bf665349a681,pump products for storage,storing goods and materials,687671b3ebd2bf665349a60e
81,687671b4ebd2bf665349a682,medico-biological and medical sciences related to dentistry,dental studies,687671b3ebd2bf665349a45c
82,687671b4ebd2bf665349a683,attend to detail in casting processes,,
83,687671b4ebd2bf665349a684,biomedical science,biochemistry,687671b2ebd2bf665349a40c
84,687671b4ebd2bf665349a685,keep up to date on product knowledge,monitoring developments in area of expertise,687671b3ebd2bf665349a5ff
85,687671b4ebd2bf665349a686,write Hungarian,,
86,687671b4ebd2bf665349a687,monitor drilling fluid,installing wooden and metal components,687671b3ebd2bf665349a53b
87,687671b4ebd2bf665349a688,develop efficiency plans for maritime shipping,planning production processes,687671b3ebd2bf665349a60a
88,687671b4ebd2bf665349a689,tend packaging machines,operating packaging machinery,687671b3ebd2bf665349a558
89,687671b4ebd2bf665349a68a,advise on clay products handling,advising on products and services,687671b3ebd2bf665349a530
90,687671b4ebd2bf665349a68b,maintain drilling equipment,installing wooden and metal components,687671b3ebd2bf665349a53b
91,687671b4ebd2bf665349a68c,control tree diseases,cultivating land and crops,687671b3ebd2bf665349a5ad
92,687671b4ebd2bf665349a68d,analyse the artistic concept based on stage actions,analysing and evaluating information and data,687671b3ebd2bf665349a4c4
93,687671b4ebd2bf665349a68e,migrate existing data,"managing, gathering and storing digital data",687671b3ebd2bf665349a538
94,687671b4ebd2bf665349a68f,manage supplies,allocating and controlling physical resources,687671b3ebd2bf665349a623
95,687671b4ebd2bf665349a690,human factors regarding safety,occupational health and safety,687671b3ebd2bf665349a47c
96,687671b4ebd2bf665349a691,perform roof maintenance,installing roofing,687671b3ebd2bf665349a528
97,687671b4ebd2bf665349a692,types of digesters,chemistry,687671b2ebd2bf665349a415
98,687671b4ebd2bf665349a693,define database physical structure,"managing, gathering and storing digital data",687671b3ebd2bf665349a538
99,687671b4ebd2bf665349a694,lay stones,installing structural masonry materials,687671b3ebd2bf665349a586
100,687671b4ebd2bf665349a695,assemble circus rigging equipment,installing and assembling rigging equipment,687671b3ebd2bf665349a57b
101,687671b4ebd2bf665349a696,manage documentation of prior learning assessments,documenting and recording information,687671b3ebd2bf665349a4ab
102,687671b4ebd2bf665349a697,perform oral health diagnosis,diagnosing health conditions,687671b3ebd2bf665349a5ed
103,687671b4ebd2bf665349a698,geomatics,earth sciences,687671b2ebd2bf665349a416
104,687671b4ebd2bf665349a699,contamination exposure regulations,community sanitation,687671b3ebd2bf665349a47b
105,687671b4ebd2bf665349a69a,Maltego,software and applications development and analysis,687671b3ebd2bf665349a426
106,687671b4ebd2bf665349a69b,search historical sources in archives,gathering information from physical or electronic sources,687671b3ebd2bf665349a4d2
107,687671b4ebd2bf665349a69c,supervise performers' fights,supervising a team or group,687671b3ebd2bf665349a59d
108,687671b4ebd2bf665349a69d,develop script bible,artistic and creative writing,687671b3ebd2bf665349a4ad
109,687671b4ebd2bf665349a69e,operate radio equipment,operating communications equipment,687671b3ebd2bf665349a4a0
110,687671b4ebd2bf665349a69f,remove contaminated materials,handling and disposing of hazardous materials,687671b3ebd2bf665349a574
111,687671b4ebd2bf665349a6a0,inspect paint quality,monitoring quality of products,687671b3ebd2bf665349a4a2
112,687671b4ebd2bf665349a6a1,styles of boxes,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
113,687671b4ebd2bf665349a6a2,collect property financial information,gathering information from physical or electronic sources,687671b3ebd2bf665349a4d2
114,687671b4ebd2bf665349a6a3,trace financial transactions,monitoring operational activities,687671b3ebd2bf665349a4b4
115,687671b4ebd2bf665349a6a4,contribute to quality physiotherapy services,,
116,687671b4ebd2bf665349a6a5,install radiators,"installing heating, ventilation and air conditioning equipment",687671b3ebd2bf665349a5b2
117,687671b4ebd2bf665349a6a6,advise on care products for pets,advising on products and services,687671b3ebd2bf665349a530
118,687671b4ebd2bf665349a6a7,operate remote sensing equipment,operating scientific and laboratory equipment,687671b3ebd2bf665349a553
119,687671b4ebd2bf665349a6a8,calculate stairs rise and run,performing calculations,687671b3ebd2bf665349a622
120,687671b4ebd2bf665349a6a9,first aid for animals,veterinary,687671b3ebd2bf665349a452
121,687671b4ebd2bf665349a6aa,empathise with outdoor groups,monitoring and evaluating the performance of individuals,687671b3ebd2bf665349a5c4
122,687671b4ebd2bf665349a6ab,provide context to news stories,presenting general information,687671b3ebd2bf665349a5db
123,687671b4ebd2bf665349a6ac,circuit diagrams,database and network design and administration,687671b3ebd2bf665349a425
124,687671b4ebd2bf665349a6ad,draw up artistic production,"documenting technical designs, procedures, problems or activities",687671b3ebd2bf665349a584
125,687671b4ebd2bf665349a6ae,install passenger service units,using hand tools,687671b3ebd2bf665349a546
126,687671b4ebd2bf665349a6af,understand written Korean,,
127,687671b4ebd2bf665349a6b0,keep records of bridge investigation findings,recording legal information,687671b3ebd2bf665349a5b7
128,687671b4ebd2bf665349a6b1,sand blasting machine parts,database and network design and administration,687671b3ebd2bf665349a425
129,687671b4ebd2bf665349a6b2,create model,making models,687671b3ebd2bf665349a547
130,687671b4ebd2bf665349a6b3,follow procedures to control substances hazardous to health,handling and disposing of hazardous materials,687671b3ebd2bf665349a574
131,687671b4ebd2bf665349a6b4,assess visual impact of displays,analysing and evaluating information and data,687671b3ebd2bf665349a4c4
132,687671b4ebd2bf665349a6b5,select glassware for serving,serving food and drinks,687671b3ebd2bf665349a4be
133,687671b4ebd2bf665349a6b6,cardiovascular system,medicine,687671b3ebd2bf665349a45d
134,687671b4ebd2bf665349a6b7,biosecurity related to animals,veterinary,687671b3ebd2bf665349a452
135,687671b4ebd2bf665349a6b8,check information on prescriptions,analysing scientific and medical data,687671b3ebd2bf665349a5b9
